UID,Project Code,Account Manager,Client,Project Name,Opp Status,Status,Decision,Final Amount,Encoded Date,Date Received,Client Deadline,Remarks
"b79745e2-fce5-4871-9018-aafb992bff20","","CBD","San Miguel Corporation","MRT7 Station 12 Depot ACS","","On-Going","GO","","2025-09-08T16:00:00.000Z","2025-09-07T16:00:00.000Z","",""
"62f494fd-bb97-435a-afde-c15f1b592aa6","CMRP25090439","RTR","Goltens Trading &amp; Engineering Pte Ltd","Goltens Bukidnon Power Corp Genset Automation &amp; Workstation","","Not Yet Started","","","2025-09-08T16:00:00.000Z","","",""
"562143de-c685-47e0-af45-bf1481e60950","","CBD","Megaworld","Vion Tower CCTV","","On-Going","GO","","2025-09-08T16:00:00.000Z","2025-09-07T16:00:00.000Z","2025-09-18T16:00:00.000Z",""
"c1f4b9c2-c600-43e0-9a95-acaf47f3bc19","CMRP25090433","CBD","Megaworld","Westside FDAS Bosch","OP30","Submitted","GO","75892.86","2025-09-07T16:00:00.000Z","2025-09-01T16:00:00.000Z","",""
"895a977c-8461-4f1a-ab0f-eb087a5f2d32","CMRP25090438","NSG","Northern Cement Corporation","NCC MCC Cement Transport Silo 1-6","OP90","Submitted","GO","2227391.37","2025-09-07T16:00:00.000Z","2025-08-08T16:00:00.000Z","2025-09-11T16:00:00.000Z",""
"17e2fdda-f4aa-4c57-ac1c-89761a931f0b","","JMO","URC BCFG","NURC Cavite_Power Metering of Line 1 Mixer","","On-Going","GO","","2025-09-04T16:00:00.000Z","2025-09-03T16:00:00.000Z","2025-09-10T16:00:00.000Z","04Sep RFQ by Sir Jimboy thru Elgi Costacio; For Repeat Order of PO# 00174542 14-July-2025"
"f3747561-9c6a-43c7-bb6b-48f35206d400","CMRP25050247","JMO","RUA-Energia","RUA_ Design &amp;amp; Supply OppX &amp; PMx CRM Solutions","OP60","Submitted","GO","250000","2025-09-04T16:00:00.000Z","2025-09-04T16:00:00.000Z","2025-09-05T16:00:00.000Z","05Sep, F2F Demo of Oppx and PMx to Rua Pres. & Tech'l
RTR Priced 150k per Solution, 250k for 2 solutions package"
"6fd8f3aa-391b-4829-8dcd-f07a8a1fffac","CMRP25090437","CBD","Wipro Splash","Wipro Splash Programming Laptop","OP30","Submitted","GO","826077.50","2025-09-04T16:00:00.000Z","","",""
"205945c8-fe89-4445-a6f0-ac80560851b1","CMRP25090446","JMO","URC BCFG","URC Cal DC Whse_Elec&#x27;I Install&#x27;n of Battery Charger","","Submitted","GO","","2025-09-04T16:00:00.000Z","2025-09-03T16:00:00.000Z","2025-09-11T16:00:00.000Z","01Sep RFQ by Sir Norman; 02Sep ocular with Ronel Mojeco;
12Sep Budgetary of Ian submitted"
"dc094610-11f5-4421-9155-7bbe0f4441a3","CMRP25090249","JMO","URC BCFG","URC Cal_Elec&#x27;l Installation for Battery Charger @ RMP Whse","OP30","For Revision","GO","1272058.47","2025-09-02T16:00:00.000Z","2025-08-30T16:00:00.000Z","","02Sep RFQ by Sir Ian Abrazado of CAl Warehouse (w/ BoM & SoW yet): 12Sep Ian generate over specs BoM for RFQ of end user"
"8f68d518-1f2e-4d19-911b-84efec7c3710","","CBD","EEI","Petron Bataan","","","DECLINE","","2025-09-02T16:00:00.000Z","2025-08-27T16:00:00.000Z","","Direct to NTA"
"38b42e02-c6d0-4432-bf4c-880489799503","CMRP25090429","JMO","URC BCFG","URC Cal RMFM Whse_Elec&#x27;l Inst&#x27;lln of Battery Charger","","","GO","","2025-09-02T16:00:00.000Z","2025-09-01T16:00:00.000Z","2025-09-08T16:00:00.000Z","02Sep, Site assess w/ Ronel, for BoM creation"
"e6cd1bd3-dbe9-47c2-baf4-0227858d11c2","CMRP25090430","JMO","DDT Konstract","DDT-Solar PV System for Secretariat Bldg House of Rep.","","Not Yet Started","GO","","2025-09-02T16:00:00.000Z","2025-09-01T16:00:00.000Z","2025-09-08T16:00:00.000Z","02Sep, official ITB and Pre-Bid on 09Sep 3pm @ DDT HO Mandaluyong"
"090c7078-c677-417f-ab1f-9f9254ceb803","CMRP25090427","CBD","Power Dimension Inc.","Giga Ace6 Substation SCADA","OP30","Submitted","GO","29837800.27","2025-09-01T16:00:00.000Z","2025-08-26T16:00:00.000Z","2025-09-08T16:00:00.000Z",""
"61223f03-8c3b-46b1-bd3b-d48f7d6a169c","CMRP25090428","LOS","URC SURE","URC LC PR1200019248 Powerhouse Central Monitoring","","","DECLINE","","2025-09-01T16:00:00.000Z","2025-08-31T16:00:00.000Z","",""
"4574f638-0a5a-449b-b547-5de1bd8f7c6d","CMRP25090001","NSG","UNILAB","Correction of Electrical Connections - Remote SW for Chilled &amp; Condensing Water Pumps","","On-Going","GO","","2025-08-31T16:00:00.000Z","","",""
"3560daa3-3431-4de3-97ed-2756995c8f1b","","JMO","URC BCFG","URC Cal DC Whse_Elec&#x27;l Inst&#x27;lln of Battery Charger","","","GO","","2025-08-31T16:00:00.000Z","2025-08-31T16:00:00.000Z","2025-09-07T16:00:00.000Z","01Sep RFQ by Sir Norman; 02Sep for ocular by Ronel Mojeco;"
"54e673ac-7584-406a-803b-b6802efb5ab0","CMRP25090446","JMO","URC BCFG","URC Cal_Elec&#x27;l Install&#x27;n for Battery Charger @ DC Whse","OP30","Submitted","GO","","2025-08-30T16:00:00.000Z","2025-08-30T16:00:00.000Z","2025-09-11T16:00:00.000Z","31Aug RFQ by Sir Norman w/ BoM & SoW: 
05Sep site assessed w/ Ronel c/ Sir IAn Abrazado:
12Sep Budegtary submitted to Sir Norman"
"b87fef2d-b416-4843-bf51-54f8645f057f","CMRP25080415","NSG","Analog Devices, Inc.","ADI Integration of 3 Vertiv UPS","OP30","Submitted","","243604.34","2025-08-27T16:00:00.000Z","2025-08-26T16:00:00.000Z","2025-08-28T16:00:00.000Z",""
"5151fe07-ec85-4fcc-b98d-929e014dd3a8","","JMO","URC BCFG","NURC Cavite_Illumination improvement at Production Areas","","","GO","","2025-08-27T16:00:00.000Z","2025-08-27T16:00:00.000Z","2025-09-11T16:00:00.000Z","28Aug RFP by Dexter for EHSw/ BoM & SoW; 
04Sep assessed w/ Ian thru Sir Ariel delaCruz
04Sep Illumination Improvement lau-out received from Sir Ariel"
"71871c4b-ab7b-48df-b103-a8afbce1f989","CMRP25080421","JMO","URC BCFG","URC Calamba P1 Additional Compressor Integration","OP30","Submitted","","481043.87","2025-08-27T16:00:00.000Z","2025-08-21T16:00:00.000Z","",""
"a2520832-592d-4007-847d-dde8e9e9860a","","CBD","Megaworld","1800 5F Hallway EE and Aux","","No Decision Yet","Pending","","2025-08-27T16:00:00.000Z","2025-08-26T16:00:00.000Z","2025-09-16T16:00:00.000Z","Sep15 (updated plan)"
"65048b00-0154-4377-be4f-13aca668475c","CMRP25080422","LOS","San Miguel Corporation","SMC PHC-BBF ELVPD","OP30","Submitted","GO","32956465.37","2025-08-27T16:00:00.000Z","2025-08-27T16:00:00.000Z","2025-08-27T16:00:00.000Z",""
"94f84567-80f6-47a4-9e30-9c6c20db201d","CMRP25080423","JMO","URC SURE","SURE Passi_Repair of Siemens Senamics VFD","","","DECLINE","","2025-08-27T16:00:00.000Z","2025-08-27T16:00:00.000Z","2025-09-03T16:00:00.000Z","28Aug, declined per RJ"
"75cdde46-3ac7-422e-bd1d-5c8d6ecbfcbd","CMRP25080424","JMO","URC BCFG","URC Pam 2_Line 3 PLC HMI Upgrade","","On-Going","GO","","2025-08-27T16:00:00.000Z","2025-08-27T16:00:00.000Z","2025-09-03T16:00:00.000Z","28Aug RFP by Sir Errol thru TJ:
Budgeted for 2026"
"595cf8df-af7e-4aa0-b3ff-da1a7f6ed83e","CMRP25080420","JMO","URC BCFG","URC Calamba P2 Antenna Troubleshooting","","Not Yet Started","","","2025-08-27T16:00:00.000Z","2025-08-27T16:00:00.000Z","",""
"13e8ad23-f019-4c89-b9a9-8a25dc0ca25b","CMRP25050207","TJC","Belmont Softgel Pharma Corporation","Belmont Softgel BMS PMS works for Q3 &amp; Q4","OP90","","","224078.1","2025-08-27T16:00:00.000Z","2025-08-27T16:00:00.000Z","",""
"31d8ef06-4779-4e3b-9966-f50094bdcc7f","CMRP25090434","JMO","URC BCFG","NURC Cavite _ Raise The Roof – Electrical Works (PR 1200019769)","OP30","Submitted","GO","1031298.73","2025-08-26T16:00:00.000Z","2025-08-07T16:00:00.000Z","2025-08-28T16:00:00.000Z","22Aug Site Prebid/Inspection: 26Aug, Rev BoM / Load Sked received
04Sep Budgetary for rev to NURC BoM;
09Sep rev1 Tech'l & Comm'l Proposal submitted"
"1ea9e919-2f8c-44ed-81ce-5998be088874","CMRP25080409","LOS","LBI Philippines Inc.","LBI RCS Cabuyao Additional Evaporator","OP90","Submitted","GO","88364.58","2025-08-26T16:00:00.000Z","2025-08-25T16:00:00.000Z","2025-08-28T16:00:00.000Z",""
"0cf6f8ec-12e0-4848-8069-c0086443b25f","CMRP25080419","JMO","URC BCFG","URC Cebu 2_CPX25-Upgrade Cross Feeder (PDS) System of Schaaf","","","DECLINE","","2025-08-26T16:00:00.000Z","2025-08-03T16:00:00.000Z","2025-08-26T16:00:00.000Z","04Aug RFQ by Sir Norman, 27Aug declined per JEB"
"d4232b2d-009f-48c8-aa95-e691e465490c","CMRP25080400","JMO","URC BCFG","URC Canlubang_Improve PL Warehouse Electrical","OP30","","GO","3146249.24","2025-08-26T16:00:00.000Z","2025-08-05T16:00:00.000Z","2025-08-19T16:00:00.000Z","08Aug Site Pre-Bid by Ian: 19Aug Budgetary"
"a7d8b651-b870-48e1-8d8d-dc0b2721e383","CMRP25080396","JMO","URC BCFG","URC SP-1_Install Power Supply for New Battery Charger","OP30","","GO","831688.49","2025-08-26T16:00:00.000Z","2025-08-07T16:00:00.000Z","2025-08-17T16:00:00.000Z","11Aug Site PreBid w/ Claude: 15Aug buyer;18Aug Budgetary"
"9bd798c8-b106-4ac0-a33b-44593460a7bf","CMRP25080416","CBD","Megaworld","VGC Additionals","","Not Yet Started","GO","","2025-08-26T16:00:00.000Z","2025-08-26T16:00:00.000Z","",""
"cded4d5f-5eef-44dd-b49c-5367d4e6f1b9","CMRP25080418","RTR","Net Pacific Inc.","Netpac Unilever BGC VAV BMS Integration","","","","","2025-08-26T16:00:00.000Z","2025-08-25T16:00:00.000Z","",""
"6e016c41-9f6b-4f2e-9eda-8777499e0662","CMRP25080417","JMO","URC BCFG","URC Calamba Boiler Sensor Replacement","OP30","Submitted","GO","","2025-08-26T16:00:00.000Z","","",""
"2870b132-2762-47b8-a74d-2ffc7961e5d8","","JMO","Maynilad Water","S&amp;I  Level Indicating Transmitters at Various Chemical Tanks","","","DECLINE","","2025-08-26T16:00:00.000Z","2025-08-14T16:00:00.000Z","2025-09-02T16:00:00.000Z","31July LOI Invite not responded; more on mechanical"
"86d59df1-8a60-4169-a35b-da998ff96713","CMRP25080398","JMO","URC AIG","URC AIG Bulacan_Electrcical Works","LOST","Submitted","GO","9302342.45","2025-08-26T16:00:00.000Z","2025-08-05T16:00:00.000Z","2025-08-21T16:00:00.000Z","05Aug Invite for 08Aug 10am Virtual Pre-Bid;
02Budgetary Submitted, Not included on initial evaluation after missing 22Aug Deadline and posted clarification on 25Aug Clarif"
"21e338ab-7e1d-4f79-9eb7-c4baf5ac21ae","","JMO","URC BCFG","BCFG:DC-Conso Davao CCTV System Rehab","","No Decision Yet","DECLINE","","2025-08-26T16:00:00.000Z","2025-08-26T16:00:00.000Z","","27Aug RFQ by Sir Norman, RFI Ms Aisha for CCTV Plan/Layout: 
05Sep Officially decline w/ Sir Norman due to Logistical concern per JEB"
"915849ce-0420-4e7d-b234-8dc85db48409","","JMO","AG&amp;P","EPC &amp; Commision CCTV System @ SHELL Tabangao","","On-Going","GO","","2025-08-26T16:00:00.000Z","2025-08-04T16:00:00.000Z","2025-08-10T16:00:00.000Z","RFI Plan/Lay-out: 26Aug New Tech'l Reqts for quote by Dahua:
25Aug XYFER (Dahua Dealer) offer did not meet client Tech'l reqt's for LNG environment:
27Aug RFQ Lloyd's accredited CCTV Suppliers (Highpoint and PDX) pending offers"
"b5b8f129-e000-4c9a-aaeb-896137ef38aa","CMRP25080411","NSG","Wiz Winner Construction Services, Inc.","Wizwinner Supply of Schneider RCCB","","On-Going","GO","","2025-08-25T16:00:00.000Z","2025-08-24T16:00:00.000Z","2025-08-28T16:00:00.000Z",""
"9e83783f-82aa-4712-bb87-4032ce22b399","CMRP25080415","LOS","Wiz Winner Construction Services, Inc.","CMRP25080401-PCS001-00-LOS DB V9L4 Balancer Electrical Panel","OP60","Submitted","","432146.76","2025-08-25T16:00:00.000Z","2025-08-25T16:00:00.000Z","",""
"db086db9-4147-47dc-9221-de19f6aaf40f","CMRP25080408","CBD","Megaworld","Remote Employee PSDC FDAS","OP60","Submitted","GO","2431059.55","2025-08-25T16:00:00.000Z","2025-08-11T16:00:00.000Z","","Urgent (Sep or Q4 awarding)"
"c70f2e4c-3d95-4c53-97ce-f8a269c1382a","","","Grand Apex Construction Inc.","MRT7 Tunnel 100, 200, 300","","","","","2025-08-25T16:00:00.000Z","2025-08-21T16:00:00.000Z","",""
"a177ea0f-8cc9-4777-94f7-19cfdd200dba","CMRP25080397","RTR","Unilab","UNILAB Compactor Machine PLC Upgrade","OP90","Submitted","","1082410.97","2025-08-25T16:00:00.000Z","2025-08-14T16:00:00.000Z","",""
"c01a2bde-485f-4aac-835d-71a067372a0e","CMRP25080410","NSG","Unilab, Inc.","Unilab Electrical Supply &amp; Spare for R&amp;D Machines","OP30","Submitted","GO","267097.28","2025-08-25T16:00:00.000Z","2025-08-25T16:00:00.000Z","2025-08-28T16:00:00.000Z",""
"90551b4c-95ab-4ff1-a974-3deb8a0c911c","","CBD","Arthaland Corporation","Building X","","Not Yet Started","GO","","2025-08-25T16:00:00.000Z","","","Emailed by Siemens last week; Sep4 Derek will arrive in PH."
"6ded1be2-5f51-4ca2-b1a2-8b41cc435f56","CMRP25090453","CBD","Megaworld","Vion West CCTV","OP30","Submitted","GO","5278911.50","2025-08-25T16:00:00.000Z","2025-08-25T16:00:00.000Z","2025-09-04T16:00:00.000Z",""
"9c6b1a63-e90c-41e9-ad45-3f78e5fc391a","","CBD","Meinhardt Philippines Inc.","WTE SCADA","","Not Yet Started","GO","","2025-08-25T16:00:00.000Z","","","Waiting for documents"
"7afbf06c-0ecf-4205-852d-c13fa3b80623","CMRP25080412","NSG","Amherst Laboratories, Inc.","Amherst Delta Supply of BMS and Field Instruments","OP30","Submitted","GO","1836669.32","2025-08-25T16:00:00.000Z","2025-08-25T16:00:00.000Z","2025-08-28T16:00:00.000Z",""
"a426234c-870d-401a-a7cc-afd6cbe5ff46","CMRP25080407","LOS","Megawide","LOS CRK Gateway Expansion Ph2 BMS","OP30","Submitted","","8610605.02","2025-08-25T16:00:00.000Z","2025-08-25T16:00:00.000Z","",""
"79673b9f-84f0-4310-a1e7-ff323ced1e27","CMRP25080391","LOS","Analog Devices Inc.","ADI Supply of Bacnet Gateway and Flowmetering BMS Programming","OP100","Submitted","","265000","2025-08-25T16:00:00.000Z","2025-08-25T16:00:00.000Z","",""
"86cbcbfb-6808-4bee-8f79-61f376936335","CMRP25080404","LOS","Gardenia Bakeries Philippines Incoporated","GBPI Technical Onsite Support","OP90","Submitted","GO","37321","2025-08-19T16:00:00.000Z","2025-08-19T16:00:00.000Z","2025-08-21T16:00:00.000Z",""
"177b41c5-c993-4cd4-a893-00feb6dd54a4","CMRP25080405","","AG&amp;P","E-2025-027 - SPC &#x2F; Project Bamboo Jetty IC Package  EPC CCTV System","","","","","2025-08-19T16:00:00.000Z","","",""
"a3a8efb4-1163-42e7-bdff-7deee6d35b8d","CMRP25080403","LOS","Cold Matter Inc","CMI Unilt Cooler Additional","OP90","Submitted","GO","85148.71","2025-08-18T16:00:00.000Z","2025-08-18T16:00:00.000Z","2025-08-18T16:00:00.000Z",""
"2dbae553-3e40-4404-99c5-8af04d7aa56c","CMRP25080402","LOS","SMC","SMB Mandaue Brewery MV and LV Equipment","","Submitted","GO","81572534.41","2025-08-18T16:00:00.000Z","2025-08-17T16:00:00.000Z","2025-08-21T16:00:00.000Z",""
"77ee4984-3493-4910-a0d6-6dd497055158","CMRP25080382","NSG","Fujihaya Electric","Fujihaya Supply of Sumitomo VFD","OP30","Submitted","GO","547805.44","2025-08-13T16:00:00.000Z","2025-08-11T16:00:00.000Z","2025-08-11T16:00:00.000Z",""
"7672863e-0918-4979-81b8-667e2a820f00","CMRP25080392","CBD","Philippine Batteries Inc.","Stacker PLC Servo Drive and Motor Upgrade","OP30","For Revision","GO","1680985.62","2025-08-13T16:00:00.000Z","2025-07-01T16:00:00.000Z","","Sep12 (site visitation)"
"51a43236-d1bb-49d7-823e-2014e229a7e1","CMRP25080406","CBD","Airmix ECI","MRT7 Station 8 FDAS Works","OP30","Submitted","GO","10575498.83","2025-08-12T16:00:00.000Z","2025-08-11T16:00:00.000Z","","Ongoing review stage by SMC"
"e1b21e8d-d77e-400a-a7cf-c758d566e2c7","CMRP25080381","RTR","First Builders Corp","FBC Operating Room BMS","OP100","Submitted","GO","1001886.04","2025-08-11T16:00:00.000Z","","",""
"e95c5e0f-71be-491b-a192-8c0bf9c11d16","CMRP250080380","RTR","Siemens, Inc.","Siemens PGPC Tiwi DCS Process Control System Upgrade","OP30","Submitted","GO","6173059.8","2025-08-11T16:00:00.000Z","","",""
"ad9a651c-af5a-4f24-b474-4838bdbc73bb","","CBD","Megaworld","Honeywell CCTV","","","DECLINE","","2025-08-11T16:00:00.000Z","2025-08-11T16:00:00.000Z","",""
"74f42c07-c8d9-4d40-84fc-b77a94cb8ac1","CMRP25080377","RTR","Enginuity Construction Services","North Luzon Substation Upgrading Project 2 BMS","OP30","Submitted","GO","7424679.57","2025-08-11T16:00:00.000Z","2025-07-30T16:00:00.000Z","",""
"3731e7cf-81c0-4aa9-8b23-94e2c0660496","CMRP25080390","NSG","Riviera Golf Club, Inc","Riviera Additional Transducer","OP100","Submitted","GO","31706.25","2025-08-11T16:00:00.000Z","2025-08-11T16:00:00.000Z","2025-08-12T16:00:00.000Z",""
"dfc63d8a-ad8e-427d-9be5-4cb230df40d8","CMRP25090426","JMO","URC","URC LC PR1200019718 - PLC AND SCADA CONTROL","OP30","Submitted","GO","","2025-08-11T16:00:00.000Z","2025-08-08T16:00:00.000Z","",""
"b5205375-565a-44cf-8db6-df2948b410e3","CMRP25060294","NSG","URC SURE","URC LCD Dell Workstation Supply","OP30","Submitted","GO","386368.13","2025-08-07T16:00:00.000Z","2025-08-07T16:00:00.000Z","2025-08-07T16:00:00.000Z",""
"5a246bf3-9856-49aa-a366-73ca77264045","","CBD","EEI","Upgrading Protection Relays and Electrical Automation","","","DECLINE","","2025-08-06T16:00:00.000Z","2025-08-06T16:00:00.000Z","",""
"dbe00516-4208-466d-99ee-037a7fe6470b","","CBD","ACEN","Dameware Renewal","","","DECLINE","","2025-08-06T16:00:00.000Z","2025-08-05T16:00:00.000Z","",""
"3042394d-daaa-45ba-90c0-f8699a4ee004","CMRP2508360","TJC","Tann","Tann PH SCADA Server Upgrade","OP60","Submitted","GO","326269.31","2025-08-05T16:00:00.000Z","2025-04-07T16:00:00.000Z","",""
"b493c262-e456-4e0c-bb11-6babc721b3e6","CMRP25070351","RTR","Unilab","UNILAB OT Networks Managed Contract","","Submitted","GO","","2025-08-05T16:00:00.000Z","2025-04-07T16:00:00.000Z","",""
"826e48a1-60c9-4828-882e-78afee9f1076","CMRP25080372","CBD","ACEN","SLTEC Fortinet License for DCS","LOST","Submitted","GO","594411","2025-08-05T16:00:00.000Z","2025-07-30T16:00:00.000Z","2025-08-04T16:00:00.000Z","Not most competitive"
"9f0d8d19-a138-4b2e-b0f4-9a35bcfc1abc","CMRP2508361","TJC","Tann","Tann PH Supply and Installation of Siemens Valves","","Not Yet Started","GO","","2025-08-05T16:00:00.000Z","2025-04-07T16:00:00.000Z","",""
"4f1f0266-8817-479d-93bc-96f122a8205e","CMRP2508362","TJC","Tann","Tann PH  Power Metering","OP30","Submitted","GO","2525240.57","2025-08-05T16:00:00.000Z","2025-04-07T16:00:00.000Z","",""
"6ae0ebb5-c6fa-4915-b453-364d3ab014f6","CMRP25070353","TJC","Net Pacific Inc.","NPI STT Additional Services","OP60","Submitted","GO","34991.06","2025-08-05T16:00:00.000Z","2025-04-07T16:00:00.000Z","",""
